theme,url,img,lines,author
RESPECT,/inspirational-quotes/8152-dont-ever-forget-that-youre-a-citizen-of-this,https://assets.passiton.com/quotes/quote_artwork/8152/medium/20230623_friday_quote.jpg,"Don't ever forget that you're a citizen of this world, and there are things you can do to lift the human spirit, things that are easy, things that are free, things that you can do every day: civility, respect, kindness, character.",<Author:0x00007f4f27fef718>
RESPECT,/inspirational-quotes/6280-to-be-one-to-be-united-is-a-great-thing-but,https://assets.passiton.com/quotes/quote_artwork/6280/medium/20230622_thursday_quote.jpg,"To be one, to be united is a great thing. But to respect the right to be different is maybe even greater.",<Author:0x00007f4f27fdc5f0>
RESPECT,/inspirational-quotes/8375-let-us-develop-respect-for-all-living-things,https://assets.passiton.com/quotes/quote_artwork/8375/medium/20230621_wednesday_quote.jpg,"Let us develop respect for all living things. Let us try to replace violence and intolerance with understanding, compassion and love.",<Author:0x00007f4f27fc55d0>
RESPECT,/inspirational-quotes/3239-we-dont-need-to-share-the-same-opinions-as,https://assets.passiton.com/quotes/quote_artwork/3239/medium/20230620_tuesday_quote.jpg,"We don't need to share the same opinions as others, but we need to be respectful.",<Author:0x00007f4f28016cc8>
RESPECT,/inspirational-quotes/8081-one-of-the-most-sincere-forms-of-respect-is,https://assets.passiton.com/quotes/quote_artwork/8081/medium/20230619_monday_quote.jpg,One of the most sincere forms of respect is actually listening to what another has to say.,<Author:0x00007f4f280047f8>
INCLUSION,/inspirational-quotes/8384-every-individual-matters-every-individual-has,https://assets.passiton.com/quotes/quote_artwork/8384/medium/20230616_friday_quote.jpg,Every individual matters. Every individual has a role to play. Every individual makes a difference.,<Author:0x00007f4f2804e4e8>
INCLUSION,/inspirational-quotes/7704-being-inclusive-is-having-a-human-connection,https://assets.passiton.com/quotes/quote_artwork/7704/medium/20230615_thursday_quote.jpg,Being inclusive is having a human connection without placing judgments before it.,<Author:0x00007f4f28036ff0>
INCLUSION,/inspirational-quotes/8383-strength-lies-in-differences-not-in-similarities,https://assets.passiton.com/quotes/quote_artwork/8383/medium/20230614_wednesday_quote.jpg,"Strength lies in differences, not in similarities.",<Author:0x00007f4f2807ff70>
INCLUSION,/inspirational-quotes/7707-inclusion-works-to-the-advantage-of-everyone,https://assets.passiton.com/quotes/quote_artwork/7707/medium/20230613_tuesday_quote.jpg,Inclusion works to the advantage of everyone. We all have things to learn and we all have something to teach.,<Author:0x00007f4f2806db40>
INCLUSION,/inspirational-quotes/8382-i-believe-that-we-are-here-for-each-other-not,https://assets.passiton.com/quotes/quote_artwork/8382/medium/20230612_monday_quote.jpg,"I believe that we are here for each other, not against each other.",<Author:0x00007f4f280b6ac0>
LIVE YOUR DREAMS,/inspirational-quotes/8351-the-biggest-adventure-you-can-take-is-to-live,https://assets.passiton.com/quotes/quote_artwork/8351/medium/20230609_friday_quote.jpg,The biggest adventure you can take is to live the life of your dreams.,<Author:0x00007f4f2809f758>
LIVE YOUR DREAMS,/inspirational-quotes/4137-go-confidently-in-the-direction-of-your-dreams,https://assets.passiton.com/quotes/quote_artwork/4137/medium/20230608_thursday_quote.jpg,Go confidently in the direction of your dreams! Live the life you've imagined.,<Author:0x00007f4f2808c608>
LIVE YOUR DREAMS,/inspirational-quotes/6906-dont-be-pushed-by-your-problems-be-led-by-your,https://assets.passiton.com/quotes/quote_artwork/6906/medium/20230607_wednesday_quote.jpg,"Don't be pushed by your problems, be led by your dreams.",<Author:0x00007f4f280d6190>
LIVE YOUR DREAMS,/inspirational-quotes/8223-no-matter-where-you-re-from-your-dreams-are,https://assets.passiton.com/quotes/quote_artwork/8223/medium/20230606_tuesday_quote.jpg,"No matter where you’re from, your dreams are valid.",<Author:0x00007f4f280bfe18>
LIVE YOUR DREAMS,/inspirational-quotes/4386-make-no-small-plans-for-they-have-no-power-to,https://assets.passiton.com/quotes/quote_artwork/4386/medium/20230605_monday_quote.jpg,Make no small plans for they have no power to stir the soul.,<Author:0x00007f4f2810d988>
APPRECIATION,/inspirational-quotes/4298-appreciation-is-a-wonderful-thing-it-makes,https://assets.passiton.com/quotes/quote_artwork/4298/medium/20230602_friday_quote.jpg,Appreciation is a wonderful thing. It makes what is excellent in others belong to us as well.,<Author:0x00007f4f280f7818>
APPRECIATION,/inspirational-quotes/6601-enjoy-the-little-things-in-life-for-one-day,https://assets.passiton.com/quotes/quote_artwork/6601/medium/20230601_thursday_quote.jpg,"Enjoy the little things in life, for one day you may look back and realize they were the big things.",<Author:0x00007f4f2814c2f0>
APPRECIATION,/inspirational-quotes/6378-now-is-no-time-to-think-of-what-you-do-not,https://assets.passiton.com/quotes/quote_artwork/6378/medium/20230531_wednesday_quote.jpg,Now is no time to think of what you do not have. Think of what you can do with what there is. ,<Author:0x00007f4f2812fab0>
APPRECIATION,/inspirational-quotes/8381-strive-to-find-things-to-be-thankful-for-and,https://assets.passiton.com/quotes/quote_artwork/8381/medium/20230530_tuesday_quote.jpg,"Strive to find things to be thankful for, and just look for the good in who you are.",<Author:0x00007f4f2811d8d8>
APPRECIATION,/inspirational-quotes/7426-as-we-express-our-gratitude-we-must-never,https://assets.passiton.com/quotes/quote_artwork/7426/medium/20230529_monday_quote.jpg,"As we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them.",<Author:0x00007f4f2816f390>
GET OUTSIDE,/inspirational-quotes/8224-of-all-the-paths-you-take-in-life-make-sure-a,https://assets.passiton.com/quotes/quote_artwork/8224/medium/20230526_friday_quote.jpg,"Of all the paths you take in life, make sure a few of them are dirt.",<Author:0x00007f4f2815d398>
GET OUTSIDE,/inspirational-quotes/8380-the-wilderness-holds-answers-to-questions-we,https://assets.passiton.com/quotes/quote_artwork/8380/medium/20230525_thursday_quote.jpg,The wilderness holds answers to questions we have not yet learned to ask.,<Author:0x00007f4f281b26e0>
GET OUTSIDE,/inspirational-quotes/8131-nature-brings-solace-in-all-troubles,https://assets.passiton.com/quotes/quote_artwork/8131/medium/20230524_wednesday_quote.jpg,Nature brings solace in all troubles.,<Author:0x00007f4f281a01e8>
GET OUTSIDE,/inspirational-quotes/7511-to-be-whole-to-be-complete-wildness-reminds,https://assets.passiton.com/quotes/quote_artwork/7511/medium/20230523_tuesday_quote.jpg,"To be whole. To be complete. Wildness reminds us what it means to be human, what we are connected to rather than what we are separate from.",<Author:0x00007f4f281f1a70>
GET OUTSIDE,/inspirational-quotes/7928-the-world-is-incomprehensibly-beautiful-an,https://assets.passiton.com/quotes/quote_artwork/7928/medium/20230522_monday_quote.jpg,The world is incomprehensibly beautiful—an endless prospect of magic and wonder.,<Author:0x00007f4f281da910>
LOVE,/inspirational-quotes/6256-love-and-kindness-are-never-wasted-they-always,https://assets.passiton.com/quotes/quote_artwork/6256/medium/20230519_friday_quote.jpg,Love and kindness are never wasted. They always make a difference.,<Author:0x00007f4f281c3be8>
LOVE,/inspirational-quotes/7221-nobody-has-ever-measured-not-even-poets-how,https://assets.passiton.com/quotes/quote_artwork/7221/medium/20230518_thursday_quote.jpg,"Nobody has ever measured, not even poets, how much the heart can hold.",<Author:0x00007f4f28218a58>
LOVE,/inspirational-quotes/7444-where-there-is-love-there-is-life,https://assets.passiton.com/quotes/quote_artwork/7444/medium/20230517_wednesday_quote.jpg,Where there is love there is life.,<Author:0x00007f4f28202a00>
LOVE,/inspirational-quotes/8190-the-best-thing-to-hold-onto-in-life-is-each-other,https://assets.passiton.com/quotes/quote_artwork/8190/medium/20230516_tuesday_quote.jpg,The best thing to hold onto in life is each other.,<Author:0x00007f4f28250548>
LOVE,/inspirational-quotes/3420-the-highest-vocation-we-can-have-is-love,https://assets.passiton.com/quotes/quote_artwork/3420/medium/20230515_monday_quote.jpg,The highest vocation we can have is love.,<Author:0x00007f4f28239c80>
COMPASSION,/inspirational-quotes/8285-use-your-voice-for-kindness-your-ears-for,https://assets.passiton.com/quotes/quote_artwork/8285/medium/20230512_friday_quote.jpg,"Use your voice for kindness, your ears for compassion, your hands for charity, your mind for truth, and your heart for love.",<Author:0x00007f4f2828be68>
COMPASSION,/inspirational-quotes/8200-there-never-was-any-heart-truly-great-and,https://assets.passiton.com/quotes/quote_artwork/8200/medium/20230511_thursday_quote.jpg,"There never was any heart truly great and generous, that was not also tender and compassionate.",<Author:0x00007f4f282790b0>
COMPASSION,/inspirational-quotes/4435-if-you-are-going-to-be-compassionate-be,https://assets.passiton.com/quotes/quote_artwork/4435/medium/20230510_wednesday_quote.jpg,"If you are going to be compassionate, be prepared for action!",<Author:0x00007f4f28261cd0>
